on_street_name,danger_score
90th Avenue,22
90th Road,1
90th Street,55
91st Avenue,54
91st Street,34
92nd Avenue,11
92nd Street,66
93rd Avenue,29
93rd Road,3
93rd Street,29
94th Avenue,16
94th Road,1
94th Street,74
95th Avenue,50
95th Street,49
96th Street,27
97th Avenue,24
97th Place,2
97th Street,63
98th Street,29
99th Avenue,36
99th Place,1
99th Street,85
9th Avenue,281
9th Street,38
A 14th Street,1
A 186th Lane,1
A 225th Street,1
A College Point Boulevard,1
A Flatbush Avenue,1
A Lafayette Avenue,3
A Main Street,1
A Moultrie Street,1
Aaron Lane,1
Abbey Court,1
Abbot Street,1
Aberdeen Street,1
Abingdon Avenue,4
Abingdon Road,5
Academy Place,4
Academy Street,10
Ada Drive,1
Adams Avenue,5
Adams Place,5
Adams Street,49
Adee Avenue,49
Adelphi Street,12
Adler Place,1
Adlers Lane,1
Adrian Avenue,3
Agar Place,3
Agnes Place,1
Aguilar Avenue,1
Ainslie Street,17
Akron Street,1
Alabama Avenue,48
Alaska Street,8
Albany Avenue,168
Albany Crescent,9
Albany Street,8
Albee Avenue,1
Albemarle Road,39
Albert Road,5
Alcott Place,6
Alcott Street,1
Alderton Street,12
Aldrich Street,1
Aldus Street,5
Alexander Avenue,23
Alexander Hamilton Bridge,4
Allen Avenue,2
Allen Street,49
Allendale Street,2
Allerton Avenue,103
Alley Park,1
Allison Avenue,1
Almeda Avenue,1
Alstyne Avenue,3
Altavista Court,1
Amador Street,2
Amber Street,2
Amboy Road,105
Amboy Street,29
Amersfort Place,2
Amethyst Street,1
Amherst Avenue,3
Amherst Street,1
Amity Place,7
Amity Street,3
Ampere Avenue,4
Amsterdam Avenue,444
Amundson Avenue,4
Anderson Avenue,21
Anderson Road,1
Anderson Street,3
Andrea Place,1
Andrews Avenue,25
Andrews Street,3
Andros Avenue,1
Ann Street,6
Annadale Road,23
Anthony Avenue,38
Anthony Street,8
Apollo Street,7
Appleby Avenue,1
Applegate Court,1
Aqueduct Avenue,20
Arbutus Avenue,1
Archer Avenue,38
Archer Road,1
Archer Street,7
Arden Avenue,51
Arden Street,4
Ardsley Loop,1
Argyle Road,15
Arion Place,9
Arlene Street,14
Arlington Avenue,42
Arlington Place,5
Armstrong Avenue,21
Arnold Avenue,1
Arnow Avenue,25
Arnow Place,1
Arthur Avenue,38
Arthur Kill Road,157
Arverne Boulevard,6
Ascan Avenue,7
Asch Loop,7
Ash Avenue,2
Ash Street,1
Ashford Street,44
Ashland Avenue,1
Ashland Place,36
Aske Street,4
Aspinwall Street,1
Aster Court,1
Astor Avenue,24
Astoria Boulevard,185
Astoria Park South,7
Atkins Avenue,35
Atlantic Avenue,1396
Attorney Street,1
Aubrey Avenue,3
Auburn Place,2
Auburndale Lane,2
Audley Street,1
Audubon Avenue,86
Augustina Avenue,3
Aultman Avenue,1
Aurelia Court,4
Austin Place,6
Austin Street,62
Autumn Avenue,34
Avenue,33
Avenue A,49
Avenue B,68
Avenue C,56
Avenue D,148
Avenue F,10
Avenue H,83
Avenue I,109
Avenue J,199
Avenue K,115
Avenue L,152
Avenue M,126
Avenue N,111
Avenue O,70
Avenue Of The Americas,371
Avenue P,123
Avenue R,66
Avenue S,72
Avenue T,86
Avenue U,210
Avenue V,65
Avenue W,58
Avenue X,66
Avenue Y,73
Avenue Z,73
Avery Avenue,6
Aviation Road,3
Avon Street,2
Azalea Court,3
B 186th Lane,1
Babbage Street,1
Bache Avenue,1
Baden Place,1
Bailey Avenue,77
Bainbridge Avenue,84
Bainbridge Street,29
Baisley Avenue,5
Baisley Boulevard,99
Baker Avenue,1
Balcom Avenue,14
Balfour Place,1
Baltic Street,13
Bancroft Avenue,15
Bancroft Place,3
Bank Street,3
Banker Street,3
Banner Avenue,3
Barbey Street,16
Barclay Avenue,23
Barclay Circle,3
Barclay Street,9
Bard Avenue,15
Barker Avenue,11
Barker Street,1
Barkley Avenue,7
Barnard Avenue,1
Barnes Avenue,87
Barnett Avenue,3
Barnwell Avenue,4
Barretto Street,11
Barrow Street,3
Barry Street,8
Bartholdi Street,4
Bartlett Avenue,1
Bartlett Street,2
Bartow Avenue,109
Baruch Drive,3
Baruch Place,1
Bassett Avenue,2
Bassford Avenue,3
Batchelder Street,12
Bath Avenue,63
Bathgate Avenue,39
Battery Avenue,1
Battery Place,12
Baxter Avenue,16
Baxter Street,6
Bay 10th Street,3
Bay 11th Street,3
Bay 13th Street,3
Bay 14th Street,3
Bay 16th Street,12
Bay 17th Street,6
Bay 19th Street,7
Bay 20th Street,4
Bay 22nd Street,1
Bay 23rd Street,8
Bay 25th Street,12
Bay 26th Street,4
Bay 28th Street,3
Bay 29th Street,8
Bay 31st Street,1
Bay 32nd Street,7
Bay 35th Street,6
Bay 38th Street,1
Bay 40th Street,10
Bay 43rd Street,4
Bay 44th Street,4
Bay 46th Street,3
Bay 48th Street,1
Bay 49th Street,1
Bay 50th Street,1
Bay 52nd Street,3
Bay 53rd Street,1
Bay 54th Street,8
Bay 7th Street,1
Bay 8th Street,15
Bay Avenue,9
Bay Court,1
Bay Parkway,142
Bay Ridge Avenue,76
Bay Ridge Parkway,102
Bay Ridge Place,1
Bay Street,124
Bay Terrace,8
Bay View Avenue,3
Bayard Street,21
Baychester Avenue,143
Bayfield Avenue,1
Bayside Avenue,3
Bayside Lane,3
Bayswater Avenue,5
Beach 100th Street,2
Beach 101st Street,3
Beach 105th Street,3
Beach 108th Street,14
Beach 109th Street,5
Beach 111th Street,3
Beach 112th Street,1
Beach 113th Street,4
Beach 114th Street,1
Beach 116th Street,8
Beach 119th Street,2
Beach 11th Street,4
Beach 120th Street,1
Beach 121st Street,2
Beach 122nd Street,1
Beach 123rd Street,4
Beach 124th Street,3
Beach 129th Street,3
Beach 12th Street,1
Beach 133rd Street,3
Beach 134th Street,1
Beach 136th Street,4
Beach 138th Street,1
Beach 13th Street,2
Beach 148th Street,1
Beach 15th Street,1
Beach 169th Street,3
Beach 16th Street,1
Beach 17th Street,6
Beach 19th Street,31
Beach 20th Street,30
Beach 21st Street,10
Beach 221st Street,3
Beach 22nd Street,8
Beach 26th Street,6
Beach 28th Street,5
Beach 29th Street,6
Beach 32nd Street,5
Beach 35th Street,3
Beach 36th Street,3
Beach 37th Street,4
Beach 38th Street,8
Beach 39th Street,4
Beach 3rd Street,1
Beach 40th Street,4
Beach 41st Street,6
Beach 42nd Street,4
Beach 43rd Street,1
Beach 44th Street,5
Beach 45th Street,1
Beach 46th Street,3
Beach 51st Street,4
Beach 53rd Street,3
Beach 54th Street,10
Beach 56th Place,5
Beach 56th Street,4
Beach 57th Street,3
Beach 58th Street,2
Beach 59th Street,14
Beach 5th Street,1
Beach 60th Street,2
Beach 61st Street,2
Beach 62nd Street,4
Beach 63rd Street,2
Beach 64th Street,3
Beach 65th Street,6
Beach 66th Street,2
Beach 67th Street,10
Beach 68th Street,2
Beach 69th Street,12
Beach 6th Street,4
Beach 72nd Street,5
Beach 73rd Street,5
Beach 77th Street,1
Beach 79th Street,2
Beach 81st Street,1
Beach 82nd Street,3
Beach 84th Street,1
Beach 85th Street,1
Beach 86th Street,2
Beach 87th Street,4
Beach 88th Street,5
Beach 90th Street,4
Beach 91st Street,4
Beach 92nd Street,6
Beach 94th Street,7
Beach 95th Street,5
Beach 96th Street,5
Beach 97th Street,1
Beach 98th Street,1
Beach 99th Street,3
Beach 9th Street,12
Beach Avenue,33
Beach Channel Drive,192
Beach Street,7
Beacon Lane,1
Beadel Street,3
Beard Street,2
Beaumont Avenue,4
Beaumont Street,1
Beaver Road,1
Beaver Street,30
Beck Street,7
Bedell Avenue,1
Bedell Lane,2
Bedell Street,18
Bedford Avenue,685
Bedford Street,9
Beech Avenue,6
Beech Terrace,2
Beechwood Place,1
Beekman Avenue,1
Beekman Place,2
Beekman Street,13
Belair Road,3
Belfast Avenue,3
Belknap Street,9
Bell Boulevard,82
Bellaire Place,2
Bellamy Loop,4
Belmont Avenue,97
Belt Parkway,2462
Bement Avenue,14
Benchley Place,2
Benedict Avenue,5
Bennett Avenue,10
Bennett Street,3
Benson Avenue,39
Benson Street,2
Bentley Street,1
Benton Street,1
Benziger Avenue,3
Bergen Avenue,29
Bergen Court,2
Bergen Street,106
Berkeley Place,3
Berrian Boulevard,1
Berriman Street,19
Berry Street,41
Bertram Avenue,1
Bessemund Avenue,1
Bethel Avenue,1
Bethel Loop,1
Bethune Street,4
Betts Avenue,1
Beverley Road,162
Beverly Road,2
Bianca Court,1
Bidwell Avenue,1
Billings Place,1
Birch Avenue,3
Birch Road,3
Birdsall Avenue,2
Bishop Street,1
Bivona Street,3
Blackrock Avenue,1
Blackstone Avenue,1
Blair Avenue,1
Blake Avenue,112
Bleecker Street,85
Bleeker Place,1
Blondell Avenue,6
Bloomfield Avenue,3
Bloomingdale Road,13
Blossom Avenue,5
Boardwalk,3
Bodine Street,1
Boerum Place,41
Boerum Street,20
Bogart Avenue,2
Bogart Street,14
Bokee Court,1
Bolivar Street,1
Boller Avenue,11
Bolton Avenue,13
Bolton Street,1
Bond Street,45
Boody Street,6
Boone Avenue,13
Booth Memorial Avenue,30
Booth Street,7
Borden Avenue,159
Borinquen Place,25
Borough Place,1
Boscobel Place,4
Boscombe Avenue,7
Boston Road,513
Bouck Avenue,9
Boundary Avenue,1
Bowen Street,4
Bowery,137
Bowery Street,3
Bowne Street,21
Box Street,8
Boyd Avenue,3
Boyland Street,107
Boynton Avenue,12
Brabant Street,1
Braddock Avenue,16
Bradford Street,27
Bradhurst Avenue,24
Bradley Avenue,22
Brady Avenue,13
Bragg Street,11
Braisted Avenue,1
Brandis Avenue,1
Brandt Place,1
Brenton Place,1
Brevoort Place,1
Brewer Boulevard,150
Bridge Street,17
Bridgeton Street,2
Bridgewater Street,4
Brielle Avenue,14
Briggs Avenue,34
Brigham Street,9
Brighton 10th Street,3
Brighton 11th Street,10
Brighton 12th Street,4
Brighton 13th Street,2
Brighton 14th Street,2
Brighton 15th Street,1
Brighton 1st Place,3
Brighton 1st Street,5
Brighton 2nd Street,9
Brighton 3rd Street,10
Brighton 4th Street,7
Brighton 5th Street,3
Brighton 6th Street,12
Brighton 7th Street,4
Brighton 8th Street,2
Brighton Avenue,3
Brighton Beach Avenue,70
Brighton Court,4
Brightwater Court,12
Brinkerhoff Avenue,2
Brinsmade Avenue,3
Brisbin Street,5
Bristol Street,39
Bristow Street,8
Britton Avenue,5
Britton Street,6
Broad Street,29
Broadway,1802
Broadway Terrace,5
Brocher Road,2
Bronx Boulevard,57
Bronx Park Avenue,7
Bronx Park East,79
Bronx Park South,13
Bronx River Avenue,93
Bronx River Parkway,534
Bronx River Parkway Ramp,1
Bronx Whitestone Bridge,27
Bronxdale Avenue,48
Bronxwood Avenue,98
Brook Avenue,89
Brook Street,7
Brookdale Plaza,5
Brookhaven Avenue,9
Brooklyn Avenue,192
Brooklyn Battery Tunnel,8
Brooklyn Bridge,25
Brooklyn Qns Expressway,10
Brooklyn Queens Expressway,1435
Brooklyn Queens Expressway Ramp,13
Brooklyn Queens Expy (Cdr),1
Brooks Pond Place,1
Brookside Street,3
Brookville Boulevard,96
Broome Street,51
Brown Place,6
Brown Street,15
Bruckner Avenue,1
Bruckner Boulevard,938
Bruckner Expressway,659
Bruckner Expressway Ramp,4
Bruner Avenue,18
Brunswick Avenue,1
Brush Avenue,35
Bryant Avenue,50
Bryant Park,4
Bryant Street,1
Buchanan Place,2
Buck Street,3
Bud Place,1
Buel Avenue,4
Buffalo Avenue,67
Buffalo Street,6
Buhre Avenue,11
Bullard Avenue,4
Bulova Avenue,1
Bulwer Place,1
Burbank Avenue,2
Burgher Avenue,3
Burke Avenue,54
Burling Street,3
Burnett Street,2
Burns Street,10
Burr Avenue,3
Bush Avenue,1
Bush Street,1
Bushwick Avenue,540
Bushwick Place,2
Bussing Avenue,22
Butler Avenue,1
Butler Place,6
Butler Street,12
Buttrick Avenue,1
Byron Avenue,10
Cabot Road,1
Cabrini Boulevard,2
Cadman Plaza East,4
Cadman Plaza West,33
Caffrey Avenue,6
Calamus Avenue,5
Caldwell Avenue,7
Calhoun Avenue,3
Calloway Street,8
Calyer Street,15
Cambreleng Avenue,2
Cambria Avenue,1
Cambridge Avenue,6
Cambridge Place,1
Cameron Place,4
Campbell Avenue,1
Campus Road,12
Canal Avenue,1
Canal Place,7
Canal Street,260
Canarsie Road,9
Caney Lane,3
Caney Road,1
Cannon Boulevard,1
Cannon Place,6
Canterbury Avenue,3
Capodanno Boulevard,64
Carlton Avenue,25
Carlton Boulevard,1
Carlyle Green,1
Carmine Street,4
Caroll Street,1
Carpenter Avenue,44
Carroll Place,1
Carroll Street,30
Carson Street,2
Carter Avenue,8
Carteret Street,3
Carver Loop,4
Cary Avenue,12
Casals Place,4
Casanova Street,6
Case Street,4
Cass Place,4
Cassidy Place,1
Castle Hill Avenue,116
Castleton Avenue,74
Catalpa Avenue,17
Cathedral Parkway,17
Cathedral Place,1
Catherine Street,3
Caton Avenue,80
Cauldwell Avenue,43
Cayuga Avenue,1
Cebra Avenue,3
Cedar Avenue,24
Cedar Lawn Avenue,2
Cedar Street,10
Cedar Terrace,1
Center Boulevard,1
Center Drive,3
Center Place,1
Central Avenue,151
Central Park North,13
Central Park South,25
Central Park West,112
Centre Mall,1
Centre Street,58
Centreville Avenue,10
Chambers Street,47
Chandler Street,2
Channel Avenue,3
Chapel Street,3
Chapin Parkway,1
Chappell Street,1
Charles Avenue,6
Charles Street,11
Charleston Avenue,3
Charlton Street,2
Chase Court,1
Chatham Square,1
Chatterton Avenue,16
Chauncey Street,34
Cheever Place,2
Chelsea Road,3
Chelsea Street,2
Cherry Avenue,12
Cherry Street,13
Chester Avenue,2
Chester Court,1
Chester Place,1
Chester Street,45
Chesterton Avenue,2
Chestnut Avenue,1
Chestnut Circle,1
Chestnut Drive North,1
Chestnut Street,21
Chisholm Street,5
Chisum Place,2
Christie Avenue,2
Christopher Lane,5
Christopher Street,16
Chrystie Street,73
Church Avenue,399
Church Street,46
Circle Loop,1
City Island Avenue,63
City Island Bridge,10
City Island Road,2
Claflin Avenue,6
Clara Street,3
Claremont Avenue,6
Claremont Parkway,59
Clarence Avenue,1
Clarendon Road,127
Clark Street,1
Clarke Avenue,4
Clarkson Avenue,129
Clarkson Street,11
Classon Avenue,100
Claude Avenue,1
Claver Place,1
Clawson Street,7
Clay Avenue,49
Clay Street,4
Clearview Expressway,199
Clermont Avenue,22
Cleveland Avenue,6
Cleveland Place,1
Cleveland Street,33
Clifford Place,3
Clifton Avenue,5
Clifton Place,13
Clinton Avenue,43
Clinton Place,1
Clinton Street,89
Clintonville Street,9
Cloister Place,1
Close Avenue,5
Clove Road,100
Clover Place,5
Cloverdale Boulevard,7
Clyde Street,4
Clymer Street,18
Coddington Avenue,14
Cody Avenue,3
Cody Place,1
Coffey Street,3
Cohancy Street,2
Colden Avenue,11
Colden Street,5
Coleman Street,7
Coleridge Street,1
Colfax Street,1
Colgate Avenue,13
College Avenue,27
College Place,3
College Point Boulevard,193
Collier Avenue,3
Collins Place,1
Colon Avenue,1
Colonial Avenue,2
Colonial Road,20
Colony Avenue,3
Columbia Heights,4
Columbia Street,50
Columbus Avenue,109
Columbus Circle,17
Columbus Place,1
Commerce Avenue,16
Commerce Street,1
Commercial Street,3
Commonwealth Boulevard,8
Commonwlth Avenue,13
Compton Avenue,1
Comstock Avenue,2
Concord Avenue,15
Concord Street,8
Concourse Village East,12
Concourse Village West,11
Conduit Avenue,4
Conduit Boulevard,67
Coney Island Avenue,358
Congress Street,5
Conklin Avenue,19
Conner Street,65
Conover Street,10
Conselyea Street,4
Continental Avenue,3
Convent Avenue,42
Conway Street,12
Conyingham Avenue,1
Cook Street,5
Coolidge Avenue,5
Coonley Court,1
Coop City Boulevard,31
Cooper Avenue,65
Cooper Square,3
Cooper Street,33
Copley Street,3
Corbett Road,1
Corbin Avenue,1
Corbin Place,11
Corlear Avenue,7
Cornaga Avenue,20
Cornaga Court,1
Cornelia Avenue,1
Cornelia Street,43
Corona Avenue,41
Correll Avenue,1
Corsa Avenue,5
Corson Avenue,2
Cortelyou Avenue,4
Cortelyou Road,103
Cortlandt Street,5
Coster Street,8
Country Club Road,6
Court Square,3
Court Street,63
Courtlandt Avenue,19
Coverly Avenue,1
Covert Street,16
Covington Circle,1
Cowen Place,1
Coyle Street,5
Cozine Avenue,58
Craft Avenue,1
Craig Avenue,8
Crandall Avenue,3
Cranford Avenue,9
Cranford Street,3
Cranston Street,3
Crawford Avenue,6
Creamer Street,2
Crescent Avenue,4
Crescent Street,164
Creston Avenue,51
Crittenden Place,2
Crocheron Avenue,12
Croes Avenue,13
Crommelin Street,1
Cromwell Avenue,15
Crooke Avenue,9
Cropsey Avenue,175
Crosby Avenue,35
Crosby Street,6
Cross Bay Boulevard,221
Cross Bronx Expressway,172
Cross Bronx Expy,980
Cross Bronx Expy Ramp,2
Cross Bronx Extention,18
Cross Island Parkway,850
Cross Street,3
Crotona Avenue,76
Crotona Park East,16
Crotona Park North,24
Crotona Park South,4
Crotona Parkway,13
Crown Street,24
Cruger Avenue,27
Crystal Avenue,3
Crystal Street,6
Cumberland Street,5
Cumming Street,3
Curtis Place,2
Curzon Road,1
Cuthbert Road,1
Cypress Avenue,139
Cypress Hill Street,11
Cypress Hills Street,24
Cyrus Avenue,4
Cyrus Place,1
Dahill Road,45
Dahlgren Place,2
Dahlia Avenue,2
Dalny Road,5
Daly Avenue,7
Daniel Low Terrace,2
Daniels Street,1
Dark Street,3
Darlington Avenue,6
Darren Drive,1
Darrow Place,1
Dartmouth Street,2
Dash Place,1
Davidson Avenue,62
Davies Road,2
Davis Avenue,3
Dawson Street,4
Dayna Drive,1
De Costa Avenue,1
De Graw Street,13
De Kalb Avenue,237
De Witt Avenue,24
Dean Avenue,4
Dean Street,119
Dearborn Court,1
Debevoise Avenue,4
Debevoise Street,4
Decatur Avenue,32
Decatur Street,67
Decker Avenue,16
Deerfield Road,1
Degroot Place,1
Dekalb Avenue,11
Dekalb Street,7
Dekay Street,1
Delafield Avenue,8
Delancey Street,200
Delavall Avenue,2
Delaware Avenue,5
Delaware Street,3
Delmar Avenue,4
Delmar Loop,1
Delmonico Place,1
Delong Street,2
Denis Street,1
Depot Place,3
Dereimer Avenue,12
Desarc Road,1
Desmond Court,1
Detroit Avenue,2
Devoe Avenue,3
Devoe Street,11
Devoe Terrace,2
Devon Loop,1
Dewey Avenue,4
Dewey Place,1
Dewitt Place,7
Dexter Court,4
Diamond Street,8
Dianas Trail,3
Dickens Street,9
Dickie Avenue,1
Dickinson Avenue,1
Dieterle Crescent,1
Digney Avenue,4
Dikeman Street,2
Dillon Street,1
Dinsmore Avenue,4
Dinsmore Place,3
Disosway Place,1
Ditmars Boulevard,77
Ditmars Street,1
Ditmas Avenue,98
Division Avenue,32
Division Place,2
Division Street,17
Dix Avenue,3
Dixon Avenue,4
Doane Avenue,1
Dobbin Street,4
Dodworth Street,3
Dogwood Drive,1
Dominick Street,2
Dongan Avenue,1
Dongan Place,4
Dongan Street,2
Donizetti Place,2
Doran Avenue,1
Dorchester Road,21
Doris Street,5
Dormans Road,1
Dorset Street,1
Doscher Street,6
Douglas Avenue,1
Douglas Road,1
Douglass Street,11
Douglaston Parkway,14
Dover Street,10
Downes Avenue,1
Downing Street,10
Doyers Street,1
Dreiser Loop,9
Drew Street,15
Driggs Avenue,36
Driggs Street,1
Drive,1
Drumgoole Road East,21
Drumgoole Road West,22
Dry Harbor Road,7
Drysdale Street,1
Duane Street,7
Dublin Place,1
Dubois Avenue,5
Dudley Avenue,1
Duer Lane,1
Duffield Street,13
Dumont Avenue,88
Duncan Street,6
Duncomb Avenue,2
Dunkirk Drive,3
Dunkirk Street,12
Dunne Court,2
Dunton Avenue,1
Dunton Street,1
Dupont Street,1
Durant Avenue,1
Durland Place,3
Duryea Avenue,1
Duryea Court,1
Dutch Kills Street,1
Dutchess Avenue,1
Dwight Street,5
Dyckman Street,91
Dyer Avenue,18
Dyre Avenue,13
E 186th Lane,1
Eagle Avenue,12
Eagle Street,6
Eames Place,1
East 100th Street,15
East 101st Street,24
East 102nd Street,56
East 103rd Street,33
East 104th Street,30
East 105th Street,42
East 106th Street,61
East 107th Street,10
East 108th Street,46
East 109th Street,20
East 10th Street,56
East 110th Street,32
East 111th Street,26
East 112th Street,37
East 113th Street,8
East 114th Street,3
East 115th Street,42
East 116th Street,146
East 117th Street,41
East 118th Street,38
East 119th Street,38
East 11th Street,21
East 120th Street,28
East 121st Street,4
East 122nd Street,28
East 123rd Street,25
East 124th Street,33
East 125th Street,162
East 126th Street,32
East 127th Street,16
East 128th Street,45
East 129th Street,28
East 12th Street,81
East 130th Street,11
East 131st Street,13
East 132nd Street,51
East 133rd Street,6
East 134th Street,39
East 135th Street,160
East 136th Street,10
East 137th Street,37
East 138th Street,200
East 139th Street,46
East 13th Street,66
East 140th Street,43
East 141st Street,48
East 142nd Street,19
East 143rd Street,30
East 144th Street,45
East 145th Street,14
East 146th Street,20
East 147th Street,20
East 148th Street,6
East 149th Street,295
East 14th Street,122
East 150th Street,29
East 151st Street,40
East 152nd Street,9
East 153rd Street,17
East 154th Street,5
East 155th Street,6
East 156th Street,74
East 157th Street,22
East 158th Street,16
East 159th Street,7
East 15th Street,51
East 160th Street,12
East 161st Street,181
East 162nd Street,15
East 163rd Street,162
East 164th Street,34
East 165th Street,101
East 166th Street,46
East 167th Street,91
East 168th Street,35
East 169th Street,80
East 16th Street,54
East 170th Street,71
East 171st Street,22
East 172nd Street,56
East 173rd Street,53
East 174th Street,147
East 175th Street,74
East 176th Street,64
East 177th Street,50
East 178th Street,55
East 179th Street,52
East 17th Street,58
East 180th Street,108
East 181st Street,54
East 182nd Street,41
East 183rd Street,39
East 184th Street,46
East 185th Street,5
East 186th Street,1
East 187th Street,44
East 188th Street,57
East 189th Street,19
East 18th Street,72
East 190th Street,1
East 191st Street,2
East 192nd Street,9
East 193rd Street,16
East 194th Street,25
East 195th Street,4
East 196th Street,41
East 197th Street,10
East 198th Street,23
East 199th Street,9
East 19th Street,72
East 1st Street,13
East 201st Street,9
East 202nd Street,5
East 203rd Street,5
East 204th Street,21
East 205th Street,5
East 206th Street,3
East 207th Street,7
East 208th Street,12
East 209th Street,5
East 20th Street,41
East 210th Street,8
East 211th Street,25
East 212th Street,4
East 213th Street,24
East 214th Street,14
East 215th Street,7
East 216th Street,20
East 217th Street,17
East 218th Street,11
East 219th Street,12
East 21st Street,79
East 220th Street,10
East 221st Street,20
East 222nd Street,59
East 223rd Street,22
East 224th Street,28
East 225th Street,24
East 226th Street,23
East 227th Street,16
East 228th Street,39
East 229th Drive North,1
East 229th Street,22
East 22nd Street,38
East 230th Street,12
East 231st Street,22
East 232nd Street,26
East 233rd Street,263
East 234th Street,19
East 235th Street,14
East 236th Street,37
East 237th Street,17
East 238th Street,1
East 239th Street,12
East 23rd Street,104
East 240th Street,21
East 241st Street,41
East 242nd Street,6
East 243rd Street,4
East 24th Street,26
East 25th Street,25
East 26th Street,53
East 27th Street,37
East 28th Street,54
East 29th Street,60
East 2nd Street,34
East 30th Street,20
East 31st Street,34
East 32nd Street,38
East 33rd Street,23
East 34th Street,161
East 35th Street,69
East 36th Street,53
East 37th Street,107
East 38th Street,58
East 39th Street,36
East 3rd Street,62
East 40th Street,29
East 41st Street,19
East 42nd Street,94
East 43rd Street,30
East 44th Street,13
East 45th Street,49
East 46th Street,37
East 47th Street,14
East 48th Street,49
East 49th Street,50
East 4th Street,35
East 50th Street,12
East 51st Street,85
East 52nd Street,70
East 53rd Street,74
East 54th Street,57
East 55th Street,52
East 56th Street,56
East 57th Street,89
East 58th Street,47
East 59th Street,102
East 5th Street,36
East 60th Street,51
East 61st Street,58
East 62nd Street,62
East 63rd Street,50
East 64th Street,31
East 65th Street,35
East 66th Street,47
East 67th Street,30
East 68th Street,22
East 69th Street,16
East 6th Street,34
East 70th Street,25
East 71st Street,36
East 72nd Street,44
East 73rd Street,17
East 74th Street,28
East 75th Street,18
East 76th Street,33
East 77th Street,22
East 78th Street,27
East 79th Street,44
East 7th Street,41
East 80th Street,115
East 81st Street,29
East 82nd Street,35
East 83rd Street,49
East 84th Street,44
East 85th Street,52
East 86th Street,53
East 87th Street,31
East 88th Street,43
East 89th Street,29
East 8th Street,46
East 90th Street,23
East 91st Street,39
East 92nd Street,90
East 93rd Street,61
East 94th Street,84
East 95th Street,77
East 96th Street,143
East 97th Street,25
East 98th Street,95
East 99th Street,31
East 9th Street,43
East Avenue,3
East Bay Avenue,16
East Broadway,38
East Burnside Avenue,65
East Clarke Place,6
East Drive,19
East End Avenue,9
East Fordham Road,218
East Gun Hill Road,376
East Hampton Boulevard,2
East Houston Street,163
East Kingsbridge Road,33
East Mosholu Parkway North,20
East Mosholu Parkway South,27
East Mount Eden Avenue,25
East New York Avenue,168
East Service Road,1
East Tremont Avenue,548
East Williston Avenue,14
Eastburn Avenue,10
Eastchester Road,127
Eastern Parkway,603
Eaton Place,1
Ebey Lane,3
Echo Place,1
Eckford Avenue,2
Eckford Street,10
Edenwald Avenue,21
Edgecombe Avenue,45
Edgegrove Avenue,3
Edgemere Avenue,17
Edgerton Boulevard,2
Edgewater Road,47
Edgewater Street,1
Edgewood Avenue,7
Edison Avenue,15
Edsall Avenue,1
Edson Avenue,19
Egbert Avenue,3
Einstein Loop,7
Elbertson Street,1
Elder Avenue,17
Eldert Street,13
Elderts Lane,43
Eldridge Street,22
Elgar Place,1
Eliot Avenue,68
Elizabeth Avenue,1
Elizabeth Street,29
Elk Drive,4
Ellery Street,1
Elliot Place,9
Ellis Avenue,15
Ellison Avenue,1
Ellsworth Avenue,8
Ellwell Crescent,1
Ellwood Street,1
Elm Place,6
Elm Street,3
Elmhurst Avenue,6
Elmira Loop,2
Elmwood Avenue,6
Elmwood Park Drive,1
Elsmere Place,2
Eltingville Boulevard,1
Elton Avenue,8
Elton Street,58
Ely Avenue,19
Emerald Street,1
Emerson Place,2
Emmet Avenue,1
Emmons Avenue,80
Empire Avenue,2
Empire Boulevard,153
Engert Avenue,2
Englewood Avenue,9
Enright Road,2
Epsom Course,1
Erasmus Street,8
Erastina Place,1
Erdman Place,1
Ericson Place,2
Ericsson Place,1
Ericsson Street,1
Erskine Place,1
Erskine Street,25
Essex Street,80
Etna Street,33
Euclid Avenue,65
Eunice Place,2
Eveleth Road,1
Evelyn Place,4
Everdell Avenue,1
Evergreen Avenue,111
Everitt Place,1
Everitt Street,1
Exchange Place,1
Exeter Street,6
Exterior Street,34
Faber Street,1
Fahy Avenue,5
Faile Street,54
Fairbanks Avenue,1
Fairfield Street,1
Fairmount Avenue,4
Fairmount Place,5
Fairview Avenue,29
Fairview Place,2
Fanchon Place,1
Fanning Street,1
Far Rockaway Boulevard,1
Faraday Avenue,1
Farmers Boulevard,231
Farragut Avenue,2
Farragut Place,2
Farragut Road,147
Farrington Street,13
Fayette Street,3
Fdr Drive,1306
Fdr Drive Ramp,6
Featherbed Lane,27
Fenimore Street,23
Fenton Avenue,11
Fern Place,2
Ferndale Avenue,2
Fernside Place,3
Ferris Place,3
Ferris Street,4
Field Place,4
Field Street,1
Fieldston Road,4
Fieldway Avenue,3
Fillat Street,1
Fillmore Avenue,30
Fillmore Street,8
Findlay Avenue,17
Fingerboard Road,9
Finlay Street,1
Fish Avenue,12
Fisher Avenue,2
Fitchett Street,1
Flatbush Avenue,1056
Flatbush Avenue Extension,118
Flatlands 1st Street,1
Flatlands 3rd Street,3
Flatlands 8th Street,1
Flatlands 9th Street,1
Flatlands Avenue,338
Fleet Street,4
Fleet Walk,2
Flushing Avenue,341
Foam Place,3
Foch Boulevard,58
Food Center Drive,21
Forbell Street,14
Ford Street,2
Fordham Street,1
