on_street_name,danger_score
 Pinson Street,5
 Pitkin Avenue,1
 Polhemas Avenue,2
 Prince Street,5
 Princeton Street,1
 Purves Street,1
 Putnam Avenue,5
 Queens Boulevard,104
 Queens Plaza North,3
 Queens Plaza South,1
 Radcliff Avenue,2
 Redfern Avenue,8
 Reeder Street,1
 Regina Avenue,3
 Remington Street,6
 Rene Court,1
 Review Avenue,1
 Richland Avenue,1
 Riverside Drive,1
 Riverside Drive West,1
 Rockaway Beach Boulevard,57
 Rockaway Boulevard,84
 Rockaway Point Boulevard,3
 Roosevelt Avenue,145
 Rose Avenue,2
 Rose Street,1
 Ruscoe Street,1
 Russell Street,1
 Rust Street,2
 Sage Street,1
 Sanford Avenue,4
 Saull Street,1
 Saultell Avenue,2
 Saunders Street,1
 Sayres Avenue,2
 Seagirt Boulevard,12
 Selover Road,1
 Seward Avenue,1
 Shore Boulevard,5
 Shore Front Parkway,12
 Shore Parkway,2
 Simonson Street,1
 Skillman Avenue,2
 Sloan Street,1
 Somerset Street,1
 South Conduit Avenue,37
 South Road,7
 Springfield Boulevard,48
 Steinway Street,77
 Stratton Street,1
 Strong Avenue,1
 Summerfield Avenue,1
 Sunbury Road,1
 Sutphin Boulevard,44
 Sutter Avenue,6
 Sutton Place,1
 Thomson Avenue,4
 Traffic Avenue,1
 Ulmer Street,2
 Union Hall Street,5
 Union Street,21
 Union Turnpike,69
 Utopia Parkway,14
 Vancleef Street,3
 Vandam Street,4
 Vandoren Street,1
 Vanhorn Street,4
 Vanloon Street,1
 Vanwyck Expressway,32
 Vaswani Avenue,1
 Vernon Boulevard,29
 Village Road,1
 Waldron Street,3
 Waltham Street,2
 Wareham Place,1
 Warren Street,4
 Watson Place,1
 Weller Lane,1
 Welling Court,1
 Westgate Street,5
 Wetherole Street,1
 Wexford Terrace,3
 Whitehall Terrace,1
 Whitestone Expressway,4
 Whitney Avenue,2
 Willets Point Boulevard,3
 Winchester Boulevard,5
 Witthoff Street,1
 Woodbine Street,6
 Woodhaven Boulevard,22
 Woodhull Avenue,1
 Woodside Avenue,12
 Xenia Street,1
 Yellowstone Boulevard,1
100th Avenue,11
100th Street,48
101st Avenue,121
101st Street,23
102nd Avenue,5
102nd Road,2
102nd Street,75
103rd Avenue,79
103rd Street,18
104th Avenue,28
104th Street,57
105th Avenue,2
105th Street,26
106th Avenue,6
106th Street,11
107th Avenue,78
107th Street,24
108th Avenue,12
108th Street,144
109th Avenue,86
109th Road,4
109th Street,21
10th Avenue,298
10th Street,17
110th Avenue,36
110th Road,10
110th Street,26
111th Avenue,93
111th Road,3
111th Street,102
112B Broad Street,1
112th Avenue,13
112th Road,13
112th Street,41
1135A Morris Park Avenue,3
113th Avenue,25
113th Drive,1
113th Street,20
114th Road,9
114th Street,61
115th Avenue,116
115th Road,12
115th Street,30
116th Avenue,45
116th Road,3
116th Street,34
1177B Flushing Avenue,1
117th Road,1
117th Street,7
118th Avenue,37
118th Road,2
118th Street,24
119th Avenue,30
119th Drive,1
119th Road,1
119th Street,6
11th Avenue,226
11th Place,1
11th Street,50
120th Avenue,71
120th Street,34
121st Avenue,8
121st Street,17
122nd Avenue,21
122nd Place,2
122nd Street,28
123rd Avenue,23
123rd Street,32
124th Street,19
125th Avenue,2
125th Street,24
126th Avenue,2
126th Place,1
126th Street,48
127th Avenue,17
127th Street,41
128th Avenue,8
128th Drive,1
128th Street,19
129th Avenue,7
129th Street,33
12th Avenue,72
12th Road,4
12th Street,25
1300B Central Avenue,3
130th Avenue,51
130th Street,65
131st Avenue,21
131st Street,23
132nd Avenue,6
132nd Street,18
133rd Avenue,57
133rd Drive,1
133rd Road,2
133rd Street,21
134th Avenue,15
134th Street,25
135th Avenue,73
135th Place,1
135th Street,18
136th Avenue,12
136th Street,11
137th Avenue,36
137th Road,3
137th Street,9
138th Avenue,12
138th Place,2
138th Street,39
139th Avenue,15
139th Street,30
13th Avenue,100
13th Street,19
140th Avenue,27
140th Street,17
141st Avenue,9
141st Street,17
142nd Avenue,4
142nd Place,5
142nd Street,23
143rd Avenue,22
143rd Road,1
143rd Street,26
144th Avenue,32
144th Drive,1
144th Place,4
144th Road,5
144th Street,22
145th Avenue,8
145th Drive,4
145th Road,8
145th Street,9
146th Avenue,4
146th Drive,2
146th Road,1
146th Street,55
147th Avenue,45
147th Drive,6
147th Road,3
147th Street,90
148th Avenue,2
148th Drive,3
148th Road,4
148th Street,31
149th Avenue,30
149th Place,11
149th Road,6
149th Street,67
14th Avenue,168
14th Road,10
14th Street,38
150th Avenue,6
150th Drive,3
150th Place,4
150th Street,174
151st Avenue,7
151st Street,3
152nd Avenue,1
152nd Street,8
153rd Avenue,5
153rd Lane,1
153rd Street,31
154th Street,39
155th Avenue,2
155th Street,60
156th Avenue,4
156th Street,15
157th Avenue,17
157th Street,39
158th Avenue,7
158th Street,25
159th Avenue,6
159th Street,24
15th Avenue,87
15th Street,27
160th Avenue,13
160th Street,59
161st Street,29
162nd Avenue,3
162nd Street,40
163A West 228th Street,1
163rd Avenue,3
163rd Street,22
164th Avenue,3
164th Place,9
164th Street,83
165th Avenue,3
165th Street,29
166th Street,21
167th Street,19
1689B Saint Johns Place,1
168th Place,18
168th Street,54
169th Place,1
169th Street,18
16A Dewey Place,1
16th Avenue,61
16th Road,2
16th Street,20
170th Place,1
170th Street,16
171st Street,20
172nd Street,31
173rd Street,37
174th Place,1
174th Street,3
175th Street,11
176th Street,4
177th Street,25
178th Place,4
178th Street,4
179th Place,3
179th Street,6
17B Dwight Street,1
17th Avenue,70
17th Road,1
17th Street,22
180th Street,13
1819C West Farms Road,1
181st Street,10
182nd Place,1
182nd Street,22
183rd Street,21
184th Street,6
185th Street,5
186th Street,6
187th Place,5
187th Street,1
188th Street,46
189th Street,11
18th Avenue,139
18th Street,11
190th Lane,1
190th Street,15
191st Street,7
192nd Street,12
193rd Street,14
194th Street,8
1954A Rockaway Parkway,1
195A Canal Street,1
195th Street,19
196A Flatbush Avenue,1
196th Place,1
196th Street,12
197th Street,28
198th Street,12
199th Street,26
19th Avenue,73
19th Road,1
19th Street,42
1st Avenue,579
1st Place,13
1st Street,7
200th Street,15
201st Place,5
201st Street,26
202nd Street,16
203rd Street,12
204th Street,24
205th Street,19
207th Street,10
208th Street,15
209th Street,13
20th Avenue,127
20th Drive,1
20th Road,5
20th Street,23
210th Street,7
211th Street,16
212th Place,1
212th Street,41
213th Street,12
214th Place,4
214th Street,9
215th Place,9
215th Street,15
216th Street,2
217th Place,2
217th Street,37
2183A Ralph Avenue,2
218th Street,12
2193A New England Thruway,1
219th Street,26
21st Avenue,91
21st Road,1
21st Street,224
220th Place,1
220th Street,24
221st Street,34
222nd Street,36
223rd Street,46
224th Street,19
225th Street,42
226th Street,14
227th Street,12
228th Street,10
229th Street,11
22nd Avenue,14
22nd Street,27
230B Edgewater Park,1
230th Place,5
230th Street,6
231st Street,11
232nd Street,5
233rd Street,13
234th Street,16
235th Court,1
235th Street,5
237th Street,2
238th Street,1
239th Street,1
23rd Avenue,90
23rd Road,6
23rd Street,41
23rd Terrace,1
240th Street,1
241st Street,20
242nd Street,3
243rd Street,26
244th Street,7
245th Street,3
246th Street,9
247th Street,3
248th Street,15
249th Street,24
24th Avenue,37
24th Road,4
24th Street,30
250th Street,1
251st Street,5
252nd Street,2
253rd Street,11
254B Livonia Avenue,3
254th Street,8
255A Canal Street,1
255th Street,11
256th Street,1
257th Street,6
258th Street,2
259th Street,12
25th Avenue,36
25th Drive,1
25th Road,12
25th Street,5
260th Street,7
262nd Place,3
263rd Street,17
264th Street,5
265th Street,5
266th Street,1
267th Street,2
268th Street,8
26th Avenue,27
26th Road,1
26th Street,5
271st Street,2
2737B Kingsbridge Terrace,1
27th Avenue,18
27th Street,28
2804A 3rd Avenue,3
28th Avenue,34
28th Road,2
28th Street,32
29th Avenue,3
